Start: 2015-06-22_00-09-07 
  Size       AUC
1 3811 0.7343398
elapsed 
  18.21 
': False, 'model_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_tr.csv.pkl', 'bootstrap_seed': None, 'test_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_test.csv', 'train_filter': {}, 'test_metric': 'auc', 'test_pred_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_test_pred.csv', 'model_type': 'GradientBoostingClassifier', 'load_model': False, 'test_data_file2': None, 'load_type': 'fit_more', 'test_pred_file2': None, 'skip_mapping': True, 'fit_args': {'loss': 'deviance', 'verbose': 50, 'learning_rate': 0.0035, 'n_estimators': 1000, 'subsample': 1, 'random_state': 788942, 'max_features': 8, 'max_depth': 7}, 'metric_type': 'auto', 'weight_col': None, 'train_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_tr.csv', 'na_fill_value': -20000}
Loading /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_tr.csv raw file
Saving /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_tr.csv.bin.pkl cache file
Train has 6530 instances (was 6530 before filtering)
      Iter       Train Loss   Remaining Time 
       561           0.1933            7.04s
       562           0.1931            7.02s
       563           0.1930            7.01s
       564           0.1928            6.99s
       565           0.1927            6.98s
       566           0.1926            6.96s
       567           0.1925            6.95s
       568           0.1924            6.93s
       569           0.1923            6.91s
       570           0.1922            6.90s
       571           0.1920            6.88s
       572           0.1919            6.87s
       573           0.1918            6.85s
       574           0.1917            6.84s
       575           0.1916            6.82s
       576           0.1915            6.81s
       577           0.1913            6.79s
       578           0.1912            6.78s
       579           0.1911            6.76s
       580           0.1909            6.75s
       581           0.1908            6.74s
       582           0.1907            6.72s
       583           0.1906            6.70s
       584           0.1904            6.69s
       585           0.1903            6.67s
       586           0.1902            6.65s
       587           0.1901            6.64s
       588           0.1900            6.62s
       589           0.1899            6.61s
       590           0.1898            6.59s
       591           0.1897            6.58s
       592           0.1896            6.56s
       593           0.1895            6.55s
       594           0.1893            6.53s
       595           0.1892            6.51s
       596           0.1891            6.49s
       597           0.1890            6.48s
       598           0.1889            6.46s
       599           0.1888            6.45s
       600           0.1887            6.43s
       601           0.1886            6.42s
       602           0.1885            6.40s
       603           0.1884            6.38s
       604           0.1883            6.37s
       605           0.1882            6.35s
       606           0.1881            6.33s
       607           0.1879            6.32s
       608           0.1879            6.30s
       609           0.1877            6.29s
       610           0.1876            6.27s
       611           0.1875            6.26s
       612           0.1874            6.24s
       613           0.1874            6.23s
       614           0.1872            6.21s
       615           0.1872            6.19s
       616           0.1870            6.18s
       617           0.1869            6.16s
       618           0.1868            6.15s
       619           0.1867            6.13s
       620           0.1866            6.11s
       621           0.1865            6.10s
       622           0.1863            6.08s
       623           0.1862            6.07s
       624           0.1861            6.05s
       625           0.1860            6.04s
       626           0.1859            6.02s
       627           0.1858            6.00s
       628           0.1857            5.99s
       629           0.1856            5.97s
       630           0.1855            5.96s
       631           0.1854            5.94s
       632           0.1853            5.92s
       633           0.1852            5.91s
       634           0.1851            5.89s
       635           0.1850            5.88s
       636           0.1849            5.86s
       637           0.1848            5.85s
       638           0.1847            5.83s
       639           0.1846            5.81s
       640           0.1845            5.80s
       641           0.1844            5.78s
       642           0.1843            5.77s
       643           0.1842            5.75s
       644           0.1841            5.73s
       645           0.1840            5.72s
       646           0.1838            5.70s
       647           0.1837            5.69s
       648           0.1837            5.67s
       649           0.1836            5.65s
       650           0.1835            5.64s
       651           0.1834            5.62s
       652           0.1833            5.60s
       653           0.1832            5.59s
       654           0.1831            5.57s
       655           0.1830            5.56s
       656           0.1829            5.54s
       657           0.1828            5.52s
       658           0.1827            5.51s
       659           0.1826            5.49s
       660           0.1825            5.48s
       661           0.1824            5.47s
       662           0.1823            5.45s
       663           0.1822            5.44s
       664           0.1821            5.42s
       665           0.1820            5.41s
       666           0.1819            5.40s
       667           0.1817            5.38s
       668           0.1817            5.37s
       669           0.1815            5.35s
       670           0.1814            5.34s
       671           0.1813            5.32s
       672           0.1812            5.31s
       673           0.1811            5.29s
       674           0.1810            5.28s
       675           0.1809            5.26s
       676           0.1808            5.25s
       677           0.1808            5.23s
       678           0.1807            5.21s
       679           0.1806            5.20s
       680           0.1805            5.18s
       681           0.1804            5.17s
       682           0.1803            5.15s
       683           0.1802            5.13s
       684           0.1801            5.12s
       685           0.1800            5.11s
       686           0.1799            5.09s
       687           0.1798            5.07s
       688           0.1797            5.06s
       689           0.1796            5.04s
       690           0.1795            5.02s
       691           0.1794            5.01s
       692           0.1793            4.99s
       693           0.1792            4.98s
       694           0.1792            4.96s
       695           0.1791            4.94s
       696           0.1790            4.93s
       697           0.1789            4.91s
       698           0.1788            4.89s
       699           0.1787            4.88s
       700           0.1786            4.86s
       701           0.1785            4.85s
       702           0.1784            4.83s
       703           0.1783            4.81s
       704           0.1782            4.80s
       705           0.1781            4.78s
       706           0.1781            4.76s
       707           0.1780            4.75s
       708           0.1779            4.73s
       709           0.1778            4.72s
       710           0.1777            4.70s
       711           0.1776            4.68s
       712           0.1775            4.67s
       713           0.1774            4.65s
       714           0.1773            4.64s
       715           0.1772            4.62s
       716           0.1771            4.61s
       717           0.1770            4.59s
       718           0.1769            4.58s
       719           0.1768            4.56s
       720           0.1768            4.54s
       721           0.1767            4.53s
       722           0.1766            4.51s
       723           0.1765            4.50s
       724           0.1764            4.48s
       725           0.1764            4.46s
       726           0.1763            4.45s
       727           0.1762            4.43s
       728           0.1761            4.42s
       729           0.1760            4.40s
       730           0.1759            4.38s
       731           0.1758            4.37s
       732           0.1757            4.35s
       733           0.1756            4.34s
       734           0.1755            4.32s
       735           0.1754            4.30s
       736           0.1753            4.29s
       737           0.1753            4.27s
       738           0.1752            4.26s
       739           0.1751            4.24s
       740           0.1750            4.23s
       741           0.1749            4.21s
       742           0.1749            4.19s
       743           0.1748            4.18s
       744           0.1747            4.16s
       745           0.1746            4.14s
       746           0.1746            4.13s
       747           0.1744            4.11s
       748           0.1744            4.10s
       749           0.1743            4.08s
       750           0.1742            4.06s
       751           0.1741            4.05s
       752           0.1741            4.03s
       753           0.1740            4.02s
       754           0.1739            4.00s
       755           0.1738            3.98s
       756           0.1738            3.97s
       757           0.1737            3.95s
       758           0.1736            3.94s
       759           0.1735            3.92s
       760           0.1734            3.90s
       761           0.1733            3.89s
       762           0.1733            3.87s
       763           0.1732            3.86s
       764           0.1731            3.84s
       765           0.1730            3.82s
       766           0.1729            3.81s
       767           0.1728            3.80s
       768           0.1727            3.78s
       769           0.1727            3.76s
       770           0.1726            3.75s
       771           0.1725            3.73s
       772           0.1724            3.72s
       773           0.1723            3.70s
       774           0.1723            3.69s
       775           0.1722            3.67s
       776           0.1721            3.66s
       777           0.1720            3.64s
       778           0.1719            3.62s
       779           0.1718            3.61s
       780           0.1718            3.59s
       781           0.1717            3.57s
       782           0.1716            3.56s
       783           0.1715            3.54s
       784           0.1714            3.53s
       785           0.1714            3.51s
       786           0.1713            3.49s
       787           0.1712            3.48s
       788           0.1711            3.46s
       789           0.1710            3.44s
       790           0.1710            3.43s
       791           0.1709            3.41s
       792           0.1708            3.40s
       793           0.1708            3.38s
       794           0.1707            3.36s
       795           0.1706            3.35s
       796           0.1706            3.33s
       797           0.1705            3.32s
       798           0.1704            3.30s
       799           0.1703            3.28s
       800           0.1702            3.27s
       801           0.1701            3.25s
       802           0.1701            3.23s
       803           0.1700            3.22s
       804           0.1699            3.20s
       805           0.1698            3.19s
       806           0.1697            3.17s
       807           0.1696            3.15s
       808           0.1696            3.14s
       809           0.1695            3.12s
       810           0.1694            3.10s
       811           0.1693            3.09s
       812           0.1692            3.07s
       813           0.1691            3.06s
       814           0.1691            3.04s
       815           0.1690            3.02s
       816           0.1689            3.01s
       817           0.1689            2.99s
       818           0.1687            2.97s
       819           0.1687            2.96s
       820           0.1686            2.94s
       821           0.1686            2.93s
       822           0.1685            2.91s
       823           0.1684            2.90s
       824           0.1683            2.88s
       825           0.1683            2.86s
       826           0.1682            2.85s
       827           0.1681            2.83s
       828           0.1681            2.82s
       829           0.1680            2.80s
       830           0.1679            2.78s
       831           0.1679            2.77s
       832           0.1678            2.75s
       833           0.1677            2.74s
       834           0.1677            2.72s
       835           0.1676            2.70s
       836           0.1675            2.69s
       837           0.1674            2.67s
       838           0.1674            2.66s
       839           0.1673            2.64s
       840           0.1672            2.62s
       841           0.1672            2.61s
       842           0.1671            2.59s
       843           0.1670            2.57s
