Start: 2015-06-22_00-09-26 
  Size       AUC
1 2392 0.7835637
elapsed 
 16.953 
': False, 'model_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv.pkl', 'bootstrap_seed': None, 'test_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_test.csv', 'train_filter': {}, 'test_metric': 'auc', 'test_pred_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_test_pred.csv', 'model_type': 'GradientBoostingClassifier', 'load_model': False, 'test_data_file2': None, 'load_type': 'fit_more', 'test_pred_file2': None, 'skip_mapping': True, 'fit_args': {'loss': 'deviance', 'verbose': 50, 'learning_rate': 0.0035, 'n_estimators': 1000, 'subsample': 1, 'random_state': 788942, 'max_features': 8, 'max_depth': 7}, 'metric_type': 'auto', 'weight_col': None, 'train_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv', 'na_fill_value': -20000}
Loading /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv raw file
Saving /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv.bin.pkl cache file
Train has 7811 instances (was 7811 before filtering)
      Iter       Train Loss   Remaining Time 
       477           0.1940            8.70s
       478           0.1939            8.68s
       479           0.1938            8.66s
       480           0.1937            8.64s
       481           0.1936            8.62s
       482           0.1935            8.60s
       483           0.1934            8.59s
       484           0.1933            8.57s
       485           0.1931            8.55s
       486           0.1931            8.54s
       487           0.1929            8.52s
       488           0.1929            8.50s
       489           0.1928            8.48s
       490           0.1927            8.46s
       491           0.1926            8.45s
       492           0.1925            8.43s
       493           0.1924            8.41s
       494           0.1923            8.39s
       495           0.1922            8.37s
       496           0.1921            8.35s
       497           0.1920            8.34s
       498           0.1919            8.32s
       499           0.1918            8.30s
       500           0.1917            8.28s
       501           0.1916            8.27s
       502           0.1915            8.25s
       503           0.1914            8.23s
       504           0.1913            8.21s
       505           0.1913            8.19s
       506           0.1912            8.17s
       507           0.1911            8.15s
       508           0.1910            8.13s
       509           0.1909            8.12s
       510           0.1908            8.10s
       511           0.1907            8.08s
       512           0.1906            8.07s
       513           0.1905            8.05s
       514           0.1904            8.03s
       515           0.1903            8.01s
       516           0.1902            7.99s
       517           0.1901            7.99s
       518           0.1900            7.97s
       519           0.1899            7.95s
       520           0.1898            7.94s
       521           0.1897            7.92s
       522           0.1896            7.90s
       523           0.1895            7.88s
       524           0.1894            7.86s
       525           0.1893            7.85s
       526           0.1892            7.83s
       527           0.1891            7.81s
       528           0.1890            7.80s
       529           0.1889            7.78s
       530           0.1888            7.76s
       531           0.1887            7.74s
       532           0.1886            7.73s
       533           0.1885            7.71s
       534           0.1884            7.69s
       535           0.1883            7.68s
       536           0.1882            7.66s
       537           0.1881            7.64s
       538           0.1880            7.62s
       539           0.1879            7.61s
       540           0.1878            7.59s
       541           0.1877            7.57s
       542           0.1876            7.56s
       543           0.1875            7.55s
       544           0.1874            7.53s
       545           0.1873            7.51s
       546           0.1872            7.49s
       547           0.1871            7.47s
       548           0.1870            7.46s
       549           0.1869            7.44s
       550           0.1868            7.42s
       551           0.1867            7.40s
       552           0.1866            7.38s
       553           0.1865            7.37s
       554           0.1864            7.35s
       555           0.1863            7.34s
       556           0.1863            7.32s
       557           0.1861            7.30s
       558           0.1861            7.29s
       559           0.1860            7.27s
       560           0.1859            7.25s
       561           0.1858            7.24s
       562           0.1857            7.22s
       563           0.1856            7.20s
       564           0.1855            7.18s
       565           0.1854            7.16s
       566           0.1853            7.15s
       567           0.1853            7.13s
       568           0.1852            7.11s
       569           0.1850            7.10s
       570           0.1849            7.08s
       571           0.1849            7.06s
       572           0.1848            7.04s
       573           0.1847            7.03s
       574           0.1846            7.01s
       575           0.1845            6.99s
       576           0.1844            6.98s
       577           0.1843            6.96s
       578           0.1842            6.94s
       579           0.1841            6.92s
       580           0.1840            6.90s
       581           0.1840            6.89s
       582           0.1839            6.87s
       583           0.1837            6.85s
       584           0.1837            6.84s
       585           0.1836            6.82s
       586           0.1835            6.80s
       587           0.1834            6.78s
       588           0.1833            6.77s
       589           0.1833            6.75s
       590           0.1832            6.73s
       591           0.1831            6.71s
       592           0.1830            6.70s
       593           0.1829            6.68s
       594           0.1828            6.66s
       595           0.1827            6.64s
       596           0.1826            6.63s
       597           0.1825            6.61s
       598           0.1824            6.60s
       599           0.1823            6.58s
       600           0.1823            6.56s
       601           0.1822            6.54s
       602           0.1821            6.53s
       603           0.1820            6.51s
       604           0.1819            6.49s
       605           0.1818            6.48s
       606           0.1817            6.46s
       607           0.1816            6.44s
       608           0.1814            6.43s
       609           0.1813            6.41s
       610           0.1812            6.40s
       611           0.1812            6.38s
       612           0.1811            6.36s
       613           0.1810            6.35s
       614           0.1809            6.33s
       615           0.1808            6.31s
       616           0.1808            6.30s
       617           0.1807            6.28s
       618           0.1806            6.26s
       619           0.1805            6.24s
       620           0.1804            6.23s
       621           0.1803            6.21s
       622           0.1802            6.19s
       623           0.1801            6.18s
       624           0.1800            6.16s
       625           0.1799            6.14s
       626           0.1798            6.12s
       627           0.1798            6.11s
       628           0.1797            6.09s
       629           0.1796            6.07s
       630           0.1795            6.06s
       631           0.1794            6.04s
       632           0.1793            6.02s
       633           0.1792            6.01s
       634           0.1792            5.99s
       635           0.1791            5.98s
       636           0.1790            5.96s
       637           0.1789            5.94s
       638           0.1788            5.93s
       639           0.1788            5.91s
       640           0.1787            5.89s
       641           0.1786            5.88s
       642           0.1785            5.86s
       643           0.1784            5.84s
       644           0.1784            5.83s
       645           0.1783            5.81s
       646           0.1782            5.79s
       647           0.1781            5.77s
       648           0.1781            5.76s
       649           0.1780            5.74s
       650           0.1779            5.72s
       651           0.1778            5.71s
       652           0.1777            5.69s
       653           0.1777            5.67s
       654           0.1776            5.65s
       655           0.1775            5.64s
       656           0.1774            5.62s
       657           0.1774            5.60s
       658           0.1773            5.59s
       659           0.1772            5.57s
       660           0.1772            5.55s
       661           0.1771            5.54s
       662           0.1770            5.52s
       663           0.1769            5.50s
       664           0.1768            5.49s
       665           0.1768            5.47s
       666           0.1767            5.45s
       667           0.1766            5.44s
       668           0.1765            5.42s
       669           0.1765            5.40s
       670           0.1764            5.39s
       671           0.1764            5.37s
       672           0.1763            5.35s
       673           0.1762            5.33s
       674           0.1761            5.31s
       675           0.1760            5.30s
       676           0.1760            5.28s
       677           0.1760            5.26s
       678           0.1759            5.25s
       679           0.1758            5.23s
       680           0.1757            5.21s
       681           0.1757            5.19s
       682           0.1756            5.18s
       683           0.1755            5.16s
       684           0.1754            5.15s
       685           0.1754            5.13s
       686           0.1753            5.11s
       687           0.1752            5.10s
       688           0.1752            5.08s
       689           0.1751            5.06s
       690           0.1750            5.05s
       691           0.1750            5.03s
       692           0.1749            5.01s
       693           0.1748            4.99s
       694           0.1748            4.98s
       695           0.1747            4.96s
       696           0.1746            4.94s
       697           0.1745            4.93s
       698           0.1744            4.91s
       699           0.1743            4.89s
       700           0.1743            4.88s
       701           0.1742            4.86s
       702           0.1741            4.84s
       703           0.1740            4.83s
       704           0.1740            4.81s
       705           0.1739            4.79s
       706           0.1739            4.78s
       707           0.1738            4.76s
       708           0.1737            4.74s
       709           0.1737            4.73s
       710           0.1736            4.71s
       711           0.1736            4.69s
       712           0.1735            4.67s
       713           0.1734            4.66s
       714           0.1733            4.64s
       715           0.1732            4.63s
       716           0.1732            4.61s
       717           0.1731            4.59s
       718           0.1730            4.58s
       719           0.1730            4.56s
       720           0.1729            4.54s
       721           0.1728            4.53s
       722           0.1728            4.51s
       723           0.1727            4.49s
       724           0.1726            4.48s
       725           0.1725            4.46s
       726           0.1725            4.45s
       727           0.1724            4.43s
       728           0.1724            4.41s
       729           0.1723            4.40s
       730           0.1722            4.38s
       731           0.1722            4.36s
       732           0.1721            4.34s
       733           0.1720            4.33s
       734           0.1720            4.31s
       735           0.1719            4.29s
       736           0.1718            4.28s
       737           0.1718            4.26s
       738           0.1717            4.25s
       739           0.1716            4.23s
       740           0.1715            4.21s
       741           0.1715            4.19s
       742           0.1714            4.18s
       743           0.1714            4.16s
       744           0.1713            4.14s
       745           0.1712            4.13s
       746           0.1712            4.11s
       747           0.1711            4.09s
       748           0.1711            4.08s
       749           0.1710            4.06s
       750           0.1709            4.04s
       751           0.1709            4.03s
       752           0.1708            4.01s
       753           0.1707            4.00s
       754           0.1707            3.98s
       755           0.1706            3.96s
